findings,Organ,placeholder,normal,acute appendicitis,agenesis/aplasia,anteriorly directed pelvis,appendix,ascites,atypical hemangioma,autosomal dominant polycystic kidney disease (adpkd),bulky cervix,bulky kidney,bulky ovary,bulky uterus,calcified fibroid,cholecystolithiasis,chronic cystitis,chronic low grade pelvic inflammatory disease,coarse echotexture of liver,collaterals,complex renal cortical cyst,corpora amylacea calcifications,cortical calcification,cystitis,diffuse adenomyosis,dilated portal vein,dj stent,dominant follicle,early inguinal hernia,echogenic sludge(cbd),echogenic sludge(gall bladder),edematous appearance of distal ileal loops,edematous vuj,endometrial polyp,enlarged mesenteric lymph nodes,enlarged para aortic and mesenteric lymph nodes,epigastric hernia,epiploic appendigitis,excessive bowel gas,excessive gaseous abdomen,exophytic renal cortical,fatty infiltration of liver,free fluid in pouch of doughlas,gall bladder - not visuaized,gall bladder polyp,gall bladder wall edema,hemangioma-spleen,hemorrhagic ovarian cyst,hepatic calcified granuloma,hepatic hemangioma,hepatic metastasis,hepatomegaly,hydronephrosis,hydroureteronephrosis,ilio-caecal intussusception,incisional hernia,increased peristalsis,inguinal lymphadenitis,interloopal free fluid,intravesical segment calculus,iucd device,lipoma,minimal pleural effusion,nabothian gland cyst,non obstructive renal calculus,ovarian origin,para aortic and mesenteric lymphadenopathy,para ovarian cyst,para pelvic cyst,pcos pattern,pelvi-caliectasis,pelvic inflammatory disease,phyrigian cap,post-void residual urine,prominence of renal pelvis,prominent cbd,prominent endometrial thickness,prominent hepatic veins,prominent mesenteric lymph nodes,prominent para aortic and mesenteric lymph nodes,prominent portal vein,prominent splenic vein,prostatitis,prostatomegaly,puj calculus,puj obstruction,puj stricture,raised renal cortical echotexture,rectum wall thickening,reflux of saphano-femoral junction,renal calculus,renal papillary tip calcifications,renal parenchymal changes,seedling uterine fibroid,siderotic nodule,simple hepatic cyst,simple ovarian cyst,simple prostatic cyst,simple renal cortical cyst,splenomegaly,subcentimetric mesenteric lymph nodes,subcentimetric para aortic and mesenteric lymph nodes,subserosal fibroid,thinning of abdominal wall,trabaculations,tubo-ovarian cystic complex,tubo-ovarian endometriotic complex,umbilical hernia,uncomplicated inguinal hernia,undescended / retractile testis,urachal cyst,ureteric calculus,urethral calculus,urinary bladder wall thickening,uterine fibroid,vesical calculus,vuj calculus,cholangiocarcinoma
Normal in size (~ liver_size cm) and echotexture.,LIVER,LIVER,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,,,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
No intra hepatic duct dilatation. No obvious focal lesions.,LIVER,LIVER,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Normal in calibre and course.,CBD,CBD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Normal in course and calibre.,PORTAL VEIN,PORTAL VEIN,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Distended with no e/o wall thickening.,GALL BLADDER,GALL BLADDER,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
No e/o calculus/pericholecystic fluid collection.,GALL BLADDER,GALL BLADDER,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Normal in size (~ spleen_size cm) and echotexture. No focal lesions.,SPLEEN,SPLEEN,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Head and part of body visualized: Normal in size and echotexture.,PANCREAS,PANCREAS,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"No e/o focal lesions/calcification/duct dilatation.
Rest obscured.",PANCREAS,PANCREAS,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Upper: No obvious lymphadenopathy.,PARA AORTIC AREA,PARA AORTIC AREA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
