PATHOLOGIES,PLACEHOLDER,OBSERVATION,IMPRESSION,VARIABLES,QUESTION
acute appendicitis,RIF,Probe tenderness is seen in right iliac fossa. Dilated tubular non compressible aperistaltic tubular structure is seen in right iliac fossa – Likely appendix – shows a calibre of ~ _appendicealwallthickness mm showing associated inflammatory changes in the form of raised adjacent fat echogenicity.,Sonological features are likely in favour of acute appendicitis. Suggested clinical correlation.,appendicealwallthickness,"[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Acute Appendicitis""
  },
  {
    ""type"": ""input box"",
    ""key"": ""appendicealwallthickness"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the appendix (mm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
agenesis/aplasia,KIDNEYS,_kidneyabsentside kidney is not visualized in _kidneyabsent_renalfossa renal fossa/ along the line of ascent.,_kidneyabsentside kidney is not visualized in _kidneyabsent_renalfossa  renal fossa/ along the line of ascent- ? Agenesis.,"kidneyabsentside,kidneyabsent_renalfossa","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Agenesis/Aplasia""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""kidneyabsentside"",
        ""value"": ""Side of the kidney not visualized:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""_kidneyabsent_renalfossa"",
        ""value"": ""Location where the kidney is not visualized:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
anteriorly directed pelvis,KIDNEYS,_kidneyabsentside kidney is not visualized in _kidneyabsent_renalfossa renal fossa – seen in _kidneylocation – showing anteriorly directed pelvis.,_kidneyabsentside kidney is not visualized in _kidneyabsent_renalfossa renal fossa – seen in _kidneylocation – showing anteriorly directed pelvis.,"kidneyabsentside,kidneyabsent_renalfossa,kidneylocation","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Anteriorly Directed Pelvis""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""kidneyabsentside"",
        ""value"": ""Side of the kidney not visualized:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""kidneyabsent_renalfossa"",
        ""value"": ""Location where the kidney is not visualized:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""kidneylocation"",
        ""value"": ""Type of observation or position:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
appendix,RIF,Probe tenderness is seen in right iliac fossa. Tubular non compressible aperistaltic tubular structure is seen in right iliac fossa – Likely appendix – shows a calibre of ~ _appendicealwallthickness  mm – suggested clinical correlation.,,appendicealwallthickness,"[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Appendix""
  },
  {
    ""type"": ""input box"",
    ""key"": ""appendicealwallthickness"",
    ""place_holder"": ""false"",
    ""value"": ""Calibre of the appendix (mm)"",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
ascites,OTHER,_fluidlevel ascites noted.,,fluidlevel,"[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Ascites""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""fluidlevel"",
    ""place_holder"": ""false"",
    ""value"": ""Severity level of ascites noted"",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
atypical hemangioma,LIVER,A well-defined hypoechoic lesion measuring ~ _measurement_1 cm is seen in segment _segment_1 of _lobe_1 lobe of liver - ? Atypical hemangioma.,,"measurement_1,segment_1,lobe_1","[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Atypical Hemangioma""
  },
  {
    ""type"": ""input box"",
    ""key"": ""measurement_1"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the hypoechoic lesion (cm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""multiple choice"",
    ""key"": ""segment_1"",
    ""place_holder"": ""false"",
    ""value"": ""Segment of liver involved: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""multiple choice"",
    ""key"": ""lobe_1"",
    ""place_holder"": ""false"",
    ""value"": ""Lobe of liver involved: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
autosomal dominant polycystic kidney disease (adpkd),KIDNEYS,"Both kidneys are enlarged in size showing diffuse heterogeneous echogenicities with numerous cysts of varying sizes replacing renal parenchyma. The cysts are anechoic with thin walls and no internal echoes.
Right kidney measures ~_right_kidneysize cm.
Left kidney measures ~_left_kidneysize cm.",Kidneys are bulky in size showing numerous cysts of varying sizes – replacing renal parenchyma as described ~ Likely in favour of Autosomal Dominant Polycystic Kidney Disease (ADPKD).,"right_kidneysize,left_kidneysize","[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Autosomal Dominant Polycystic Kidney Disease (ADPKD)""
  },
  {
    ""type"": ""input box"",
    ""key"": ""right_kidneysize"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the right kidney (cm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""left_kidneysize"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the left kidney (cm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
bulky cervix,UTERUS,Cervix appears bulky in size and heterogeneous in echotexture.,Uterine cervix appears bulky in size and heterogeneous in echotexture – suggested clinical correlation.,,
bulky kidney,KIDNEYS,"Bulky _bulkykidney kidney with normal in echotexture.
Right kidney measures ~ _right_kidneysize cm.
Left kidney measure ~ _left_kidneysize cm.",,"bulkykidney,right_kidneysize,left_kidneysize","[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Bulky Kidney""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""bulkykidney"",
    ""place_holder"": ""false"",
    ""value"": ""Side of the bulky kidney: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""right_kidneysize"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the right kidney (cm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""left_kidneysize"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the left kidney (cm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
bulky ovary,OVARIES,"_visualizedovary ovary is visualized- normal in echotexture.
Bulky _bulkyovary ovary.
right ovary measures ~  _right_ovarysize cm  Vol ~  _right_ovaryvolume cc.
left ovary measuring ~  _left_ovarysize cm  Vol ~ _left_ovaryvolume cc",,"visualizedovary,bulkyovary,right_ovarysize,right_ovaryvolume,left_ovarysize,left_ovaryvolume","[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Bulky Ovary""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""visualizedovary"",
    ""place_holder"": ""false"",
    ""value"": ""Side of the normal ovary: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""bulkyovary"",
    ""place_holder"": ""false"",
    ""value"": ""Side of the bulky ovary: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""right_ovarysize"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the right ovary (cm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""right_ovaryvolume"",
    ""place_holder"": ""false"",
    ""value"": ""Volume of the right ovary (cc): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""left_ovarysize"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the left ovary (cm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""left_ovaryvolume"",
    ""place_holder"": ""false"",
    ""value"": ""Volume of the left ovary (cc): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
